No,Title,Inventors,Applicants,Publication number,Earliest priority,IPC,CPC,Publication date,Earliest publication,Family number
388,MAGNETIC DISK AND MANUFACTURING METHOD THEREFOR,SHIMOKAWA KOICHI,HOYA CORP,JP2009301709A,2009-09-28,"C10M107/38 
C10M129/18 
G11B5/725 
G11B5/84 
C10N30/00 
C10N30/12 
C10N40/18",,2009-12-24,2009-12-24,41548430
389,Method for modifying agarose gel with N-hydroxyl imidodicarbonic diamide,"HAIFENG XIA 
PUQIANG WU 
XIONGHUA JIN 
ZHIMING RAO",UNIV JIANGNAN,CN102241791A,2011-05-16,"B01D15/38 
B01J20/291 
C08B37/12",,2011-11-16,2011-11-16,44960054
390,Improvements in or relating to cellulose ethers and cellulose ether compositions,,HERCULES POWDER CO LTD,GB734968A,1952-07-12,C08L1/28,"C08L1/28 (EP) 
C08L1/28, C08L2666/02, INV (EP)      ",1955-08-10,1955-08-10,22114032
391,PRODUCTION OF GLYCIDYL METHACRYLATE OR GLYCIDYL ACRYLATE,"HONMA AKIHIRO 
ISOZAKI TAKESHI 
KUROKAWA MASAHIRO",MITSUBISHI GAS CHEMICAL CO,JP3775438B2,1995-03-03,"B01J31/02 
C07B61/00 
C07D303/16 
B01J31/02 
C07B61/00 
C07D303/16 
C07B61/00",,1996-09-17,1996-09-17,12684829
392,"PRODUCTION OF 4-(3-PYRIDYL)-1,2-BUTANEDIOL","INOUE KENJI 
NISHIYAMA AKIRA 
OGURO KAZUMI",KANEGAFUCHI CHEMICAL IND,JP2001039951A,1999-08-02,"C07B53/00 
C07D213/30 
C07F7/18 
C07M7/00 
C07B53/00 
C07D213/30 
C07D303/22 
C07F7/18",Y02P20/55 (EP),2001-02-13,2001-02-13,16723282
393,Emulsified displacement-permeation oil recovery agent and preparation method thereof,"JI NA 
LI LING 
LIU HANTAO 
MAO YURUN 
ZHANG QIANG 
ZHANG XIAOLONG",TANGSHAN JIYOU RUIFENG CHEMICAL CO LTD,CN104830304A,2015-05-25,"C09K8/58 
C09K8/584","C09K8/58 (CN) 
C09K8/584 (CN)",2015-08-12,2015-08-12,53808511
394,THERMOPLASTIC RESIN COMPOSITION,"KAWABATA NAOKO 
OMURA HARUO 
TANAKA TOMOHIKO",MITSUBISHI CHEM CORP,JPH0718182A,1993-07-01,"C08L81/04 
C08L81/04",,1995-01-20,1995-01-20,15776755
395,COATING AGENT FOR RELEASE-CONTROLLING PHARMACEUTICAL PREPARATION AND PRODUCTION OF RELEASE-CONTROLLING PHARMACEUTICAL PREPARATION USING THE SAME,ENDO TOSHIRO,DAICEL CHEM,JPH1017494A,1996-07-05,"A61K47/14 
A61K9/28 
A61K9/56 
B01J27/16 
A61K47/14 
A61K9/28 
A61K9/56 
B01J27/16",,1998-01-20,1998-01-20,16343490
396,POLYGLYCEROL PRODUCTION,"ESHUIS JOHAN JAN W [NL] 
LAAN JOHANNES ARIE M [NL] 
MINIHAN ALAN REGINALD [GB] 
ROBERTS GLYN [GB]","ESHUIS JOHAN JAN W [NL] 
LAAN JOHANNES ARIE M [NL] 
MINIHAN ALAN REGINALD [GB] 
ROBERTS GLYN [GB] 
UNICHEMA CHEMIE BV [NL]",WO9521210A1,1994-02-04,"C07C41/09 
C08G65/10 
C08G65/16 
C08G65/34 
C07C41/09 
C08G65/02 
C08G65/04 
C08G65/10 
C08G65/16 
C08G65/22 
C08G65/26 
C08G65/34","C07C41/09 (EP) 
C08G65/16 (EP) 
C08G65/2657 (EP) 
C08G65/34 (EP) 
C07C41/09, C07C43/132, INV (EP)       
C07C41/09, C07C43/135, INV (EP)      ",1995-08-10,1995-08-10,8217560
397,PRODUCTION OF GLYCERIN MONO-BRANCHED FATTY ACID ESTER,"AKIMOTO SHINICHI 
KUBO YOSHIFUMI 
SUGINAKA AKINORI",NIPPON OILS & FATS CO LTD,JPS62242646A,1986-04-15,"B01J31/02 
C07C67/26 
C07C69/003 
C07C69/24 
B01J31/00 
B01J31/02 
C07B61/00 
C07C67/26 
C07C69/003 
C07C69/24 
C07C69/30",,1987-10-23,1987-10-23,13851406
398,Epoxy solvent-free integral dip varnish and method for preparing same,"BANGRONG LU [CN] 
YACHEN LU [CN] 
YAN WANG [CN] 
YUEZHEN ZHU [CN]",JINTAN HUARONG INSULATING MATE [CN],CN101289593A,2008-05-08,"B05D1/18 
C09D163/00 
C09D7/12",,2008-10-22,2008-10-22,40034044
399,Silane-terminated polyurethane modified silicone sealant with mildew proofing and odor removal efficacy and preparation method thereof,WU CHUANXING,MA'ANSHAN JIECHUANG PLASTICS TECH CO LTD,CN106497502A,2016-10-26,"C08G18/28 
C09J11/04 
C09J175/08 
C09J183/06","C08G18/289 (CN) 
C09J11/04 (CN) 
C09J183/06 (CN) 
C08K2201/011 (CN) 
C09J183/06, C08L75/08, C08K13/06, C08K9/08, C08K3/36, C08K2003/0806, C08K3/38, INV (CN)      ",2017-03-15,2017-03-15,58323059
400,PROCESS FOR PRODUCING PURIFIED OIL/FAT,"DEMURA MITSURU 
KOUZUI HIROYUKI","MIZUSAWA INDUSTRIAL CHEM 
NISSHIN OILLIO GROUP LTD",JP2017039840A,2015-08-19,"C11B3/10 
C11B3/12",,2017-02-23,2017-02-23,58203294
401,"Temp, resisting type carbon fibre emulsion sizing agent and its preparation process and application","YANG YONGGANG CAO [CN] 
XIA CAO [CN] 
YONGGANG YANG [CN] 
YUEFANG WEN [CN]","SHANXI COAL CHEM INST [CN] 
INST COAL CHEMISTRY CAS [CN]",CN100500984C,2006-12-20,"D06M15/55 
D06M15/59 
D06M101/40",,2007-07-18,2007-07-18,38258688
402,Mfg. alkyd resin with free hydroxyl gps. for use in lacquers - by reacting alkyd resin with glycidol and/or glycerol (J5 5.4.80),ESCHWEY HELMUT DIPL CHEM DR,HENKEL KGAA,DE2922370A1,1979-06-01,"C08L67/00 
C08L67/08 
C09D3/64 
C08G63/76 
C08G63/48 
C09D167/08","C08G63/48 (EP) 
C09D167/08 (EP)",1980-12-11,1980-12-11,6072268
403,"Process for the preparation of 2-amino-1,3-propanediol","BENEDETTI FABIO 
NARDI ANTONIO 
VILLA MARCO","ZAMBON SPA [IT] 
ZAMBON SPA",IT1271471B,1993-09-10,"C07C 
C07C 
C07C213/00",,1995-03-10,1995-03-10,11366876
404,Amine salts as bonding agents,"ALLEN HENRY C [US] 
DUCOTE MARJORIE E [US]",US ARMY [US],US4493741A,1983-04-25,"C06B45/10 
C06B29/22 
C06B45/10","C06B29/22 (EP) 
C06B45/10 (EP)",1985-01-15,1985-01-15,23938955
405,METHOD FOR MANUFACTURING CATIONIZED GLYCEROL CELLULOSE,"IMORI YOICHIRO 
MIYOSHI HIDESUKE 
YAMAGUCHI YUMI 
YAMAZAKI NAOYUKI",KAO CORP,JP2015227414A,2014-05-30,"A61K8/73 
A61Q5/00 
A61Q5/02 
C08B15/06 
C08B11/145",,2015-12-17,2015-12-17,54885067
406,High-toughness polyformaldehyde,"GANG XINGMIN 
JIANG LIN 
KUANG JIA 
LEI QIN 
LI ZEDONG 
PU XUETAO 
TANG XIAODONG 
YANG ZONGHAI 
ZHANG HAITAO",YUNNAN YUNTIANHUA CO LTD,CN104628976A,2015-03-03,"C08G2/10 
C08G2/22 
C08G65/08",,2015-05-20,2015-05-20,53208250
407,Synthesis method for epihydric alcohol,"LIN SHAOBIN 
MENG JUGUANG 
XU DONGYING",GUANGZHOU STARTEC SCIENCE & TECHNOLOGY CO LTD,CN103012322A,2012-12-18,"C01D3/04 
C07D301/26 
C07D303/14",,2013-04-03,2013-04-03,47961480
408,Preparation method of S-glycidylphthalimide,"GUO HUI 
GUO LIXIN 
WU YONGCAI",CHENGDU GUOHONG MEDICINE CO LTD,CN103382200A,2012-05-02,"C07D263/20 
C07D405/06 
C07D413/14",,2013-11-06,2013-11-06,49490151
409,Improvements in or relating to the production of aryl-�0�� -dihydroxypropyl ethers,,"BRITISH DRUG HOUSES LTD 
JAMES FORREST 
WILLIAM BRADLEY",GB628497A,1947-02-12,,,1949-08-30,1949-08-30,9770833
410,Method for reducing trans fatty acids,"LI LI 
XIAO YUFENG 
ZHANG CHAO",FENGYI SHANGHAI BIOTECHNOLOGY RES & DEV CT CO LTD,CN104711118A,2013-12-16,"C11B3/00 
C11B3/10","C11B3/001 (CN) 
C11B3/10 (CN)",2015-06-17,2015-06-17,53410838
411,Anti-microbial composition containing aliphatic polygycidol adducts,"GROSSER FRANK R [US] 
SCARDERA MICHAEL [US]",OLIN CORP [US],US5023008A,1989-11-17,"C11D1/75 
C11D3/26 
C11D3/48 
C11D1/42 
C11D3/48","C11D1/42 (EP) 
C11D3/48 (EP)",1991-06-11,1991-06-11,23741872
412,METHOD OF OBTAINING POLYSTYRENE-BASED SORBENT FOR EXTRACTION OF BORON COMPOUNDS FROM WATER SOLUTIONS,"JATLUK JURIJ GRIGOR EVICH [RU] 
MOLOCHNIKOV LEONID SAMUILOVICH [RU] 
NESTEROV DENIS VALER EVICH [RU] 
PESTOV ALEKSANDR VIKTOROVICH [RU]",FEDERAL NOE G BJUDZHETNOE UCHREZHDENIE NAUKI INST ORCH SINTEZA IM I JA POSTOVSKOGO URAL SKOGO OTDEL [RU],RU2013120717A,2013-05-06,"B01J20/26 
B01J20/30",,2014-11-20,2014-11-20,53288334
413,FLAME RETARDANT COMPOSITION,"NISHIGAITO YASUSHI 
UENO YOSHIYUKI",SANYO CHEMICAL IND LTD,JPH09227871A,1996-02-23,"C09K21/10 
D06M13/184 
C09K21/10 
D06M13/02 
D06M13/184 
D06M13/322 
D06M13/402 
D06M13/415 
D06M13/432 
D06M101/00 
D06M101/02 
D06M101/06",,1997-09-02,1997-09-02,13186327
414,CURING AGENT FOR EPOXY RESIN AND EPOXY RESIN COMPOSITION,"AKATSUKA YASUMASA 
MOGI SHIGERU",NIPPON KAYAKU KK,JP2005220205A,2004-02-05,"C08G59/62 
C08G59/62",,2005-08-18,2005-08-18,34996098
415,PROCESS FOR THE MANUFACTURE OF POLYCARBOXYLIC ACID POLYGLYCIDYL ESTERS,"LOHSE FRIEDRICH 
TRACHSLER DIETER 
ZONDLER HELMUT",CIBA GEIGY AG,CA1077503A,1975-01-24,"C07D303/40 
B01J27/00 
B01J31/00 
C07B61/00 
C07D301/00 
C07D303/16 
C07D405/14",C07D303/16 (EP),1980-05-13,1976-07-26,27172514
416,Method for constructing circular sulfonium sugar and application thereof in synthesis of natural products such as neosalacinol and the like,"HUANG YUHAO 
WU XIAOMING 
XIE WEIJIA",UNIV CHINA PHARMA,CN110078704A,2019-03-18,C07D333/46,C07D333/46 (CN),2019-08-02,2019-08-02,67413330
417,Epoxy adhesive with high strength and high elasticity,ZHONGNAN CHAI,ZHONGNAN CHAI,CN102086362A,2009-12-08,"C09J163/00 
C09J9/00",,2011-06-08,2011-06-08,44098368
418,Process for the preparation of glycerincarbonate.,"HARDER WOLFGANG DR [DE] 
RIEBER NORBERT DR [DE] 
TELES JOAQUIM HENRIQUE DR [DE]","BASF AG [DE] 
BASF AG [CH]",EP0582201A2,1992-08-05,"C07D317/36 
C07D301/02 
C07D301/14 
B01J27/053 
B01J27/08 
B01J27/16 
B01J27/232 
C07B61/00 
C07D301/02 
C07D303/14 
C07D317/36","C07D303/14 (EP) 
C07D317/36 (EP)",1994-02-09,1994-02-09,6464891
419,Inorganic compound synthesized plastic filler and preparation method thereof,ZHU CUNSHENG,QINGYANG COUNTY JIXIANG PLASTIC CO LTD,CN107353443A,2017-08-07,"C08K13/04 
C08K5/1515 
C08K5/524 
C08K5/549 
C08K7/06","C08K13/04 (CN) 
C08K5/1515 (CN) 
C08K5/524 (CN) 
C08K5/549 (CN) 
C08K7/06 (CN) 
C08K2201/014 (CN)",2017-11-17,2017-11-17,60288006
420,PREPARATION OF GLYCIDYL METHACRYLATE,"INOUE KIMIO 
KIMURA MAMORU 
KUBO MASAYOSHI",DAICEL LTD,JPS5594380A,1979-01-11,"C07D301/00 
C07D301/00",,1980-07-17,1980-07-17,11533500
421,A process for the recovery of tungstic catalysts,,ELECTRO CHIMIE METAL,GB1018144A,1961-09-01,"B01J23/30 
B01J23/92 
C01G41/00 
C07C29/04","B01J23/30 (EP) 
B01J23/92 (EP) 
C01G41/00 (EP) 
C07C29/04 (EP) 
Y02P20/584 (EP) 
C07C29/04, C07C31/225, INV (EP)      ",1966-01-26,1962-10-13,8762086
422,Process for the preparation of epoxy resins.,"HADJISTAMOV DIMITER DR [CH] 
SCHAFFNER WERNER [CH]",CIBA GEIGY AG [CH],EP0452265A2,1990-04-12,"C08G59/06 
C07D301/28 
C07D303/27 
C08G59/06 
C08G59/18",C08G59/063 (EP),1991-10-16,1991-10-16,4206778
423,PROCESS FOR MAKING HIV PROTEASE INHIBITORS,"ASKIN DAVID [US] 
ENG KAN K [US] 
VOLANTE RALPH P [US]",MERCK & CO INC [US],CA2167183A1,1993-07-16,"C07D263/52 
C07D413/06 
C07D453/02 
C07D471/04 
C07F9/653 
C07D263/52 
C07D413/06 
C07D453/02 
C07D471/04 
C07F9/653",,1995-01-26,1995-01-26,35520898
424,Preparation process of high purity electronic grade hydrogenated bisphenol A epoxy resin,"JIANG ZHONGXUE 
JIN FENG 
JIN GUOFAN 
WANG KAI",NANJING FAR SHU PHARMACEUTICAL TECH CO LTD,CN107022060A,2017-05-27,"C08G59/02 
C08G59/06","C08G59/022 (CN) 
C08G59/06 (CN)",2017-08-08,2017-08-08,59529996
425,PREPARATION OF GLYCIDYL METHACRYLATE,"INOUE KIMIO 
KIMURA MAMORU 
KUBO MASAYOSHI",DAICEL LTD,JPS5594381A,1979-01-12,"C07D301/00 
C07D301/00",,1980-07-17,1980-07-17,11551161
426,RESIN COMPOSITION,"TAKEYAMA SHUICHI 
WATANABE JIRO 
YAMAGUCHI KIYOHIRO",YOKOHAMA RUBBER CO LTD,JPH01289858A,1988-05-16,"C04B41/68 
C08K3/36 
C08K7/28 
C08L63/00 
C04B41/68 
C08G59/00 
C08K3/36 
C08K7/28 
C08L63/00",,1989-11-21,1989-11-21,14746457
427,Treatment of the effluents from the production of epoxy resins.,"BARADEL AGOSTINO 
DELLA PENNA GINO 
GULINELLI SILVIO 
ROBERTIELLO ANDREA 
VALDISERRI MARIO",ENIRICERCHE SPA [IT],EP0362934A1,1988-10-07,"C02F1/02 
C02F1/58 
C02F3/28 
C02F9/00 
C02F1/02 
C02F1/469 
C02F1/58 
C02F3/28 
C02F9/00","C02F9/00 (EP) 
C02F1/025 (EP) 
C02F1/469 (EP) 
C02F2101/36 (EP) 
C02F3/286 (EP) 
Y10S210/908 (EP)",1990-04-11,1990-04-11,11193256
428,"Water reducer midbody, preparation method thereof and water reducer prepared by using preparation method","LIU JIAPING 
LIU JINZHI 
RAN QIANPING 
YANG YONG 
ZHANG ZHIYONG 
ZHOU DONGLIANG","JIANGSU RES INST BUILDING SCI 
NANJING BOTE NEW MATERIALS CO LTD 
JIANGSU BOTE NEW MATERIALS CO 
JIANGSU SUBOTE NEW MAT CO LTD",CN102993432A,2012-10-19,"C04B24/26 
C07D301/00 
C07D303/27 
C08F283/06 
C08G65/26 
C08G65/28 
C04B103/30",,2013-03-27,2013-03-27,47922584
429,PRODUCTION OF POLYGLYCEROL COMPOUND HAVING BRANCHED POLYGLYCEROL CHAIN,"SUZUKI KAORU 
UEDA SHIGEYUKI 
YOSHII TORU",LION CORP,JPH09235246A,1996-02-29,"C07C41/02 
C07C43/13 
C07C43/178 
C07C43/196 
C07C43/23 
C08G65/34 
C07C41/02 
C07C43/13 
C07C43/178 
C07C43/196 
C07C43/23 
C08G65/34",Y02P20/55 (EP),1997-09-09,1997-09-09,13392876
430,ANTIFOGGING AGENT FOR STYRENIC RESIN FILM,ENDO TOSHIRO,DAICEL CHEM,JPH09194655A,1996-01-22,"C07C69/30 
C08G65/28 
C08K5/10 
C08L25/02 
C07C69/30 
C08G65/28 
C08K5/10 
C08L25/02",,1997-07-29,1997-07-29,11691439
431,"GLYCIDYL ETHER GROUP-CONTAINING PARTIAL ALKOXYSILANE CONDENSATE, SILANE-MODIFIED RESIN, COMPOSITIONS OF THESE, AND PROCESSES FOR PRODUCING THESE","GODA HIDEKI [JP] 
HIGASHINO TETSUJI [JP] 
TAKEDA SHOJI [JP]","ARAKAWA CHEM IND [JP] 
GODA HIDEKI [JP] 
HIGASHINO TETSUJI [JP] 
TAKEDA SHOJI [JP]",WO0105862A1,1999-07-15,"C08G59/02 
C08G59/62 
C08G73/10 
C08G77/38 
C08G8/28 
C08L83/06 
C08G59/02 
C08G59/32 
C08G77/38 
C08G77/42 
C08G8/28 
C08L63/00 
C08L79/08","C08G59/02 (EP) 
C08G59/3254 (EP) 
C08G77/38 (EP) 
C08G77/42 (EP) 
C08G8/28 (EP) 
C08L63/00 (EP) 
C08L79/08 (EP) 
C08L63/00, C08L61/04, INV (EP)       
C08L63/00, C08L79/08, INV (EP)       
C08L79/08, C08L63/00, INV (EP)      ",2001-01-25,2001-01-25,27529286
432,PRODUCTION OF PLANOGRAPHIC PRINTING PLATE,"ADACHI YUTAKA 
FUKAZAWA KOJI 
GOTO SEI 
KISHIDA KAZUAKI 
NAITO KUNITAKA","KONISHIROKU PHOTO IND 
MITSUBISHI CHEM IND",JPH04140752A,1990-10-01,"G03F7/00 
G03F7/004 
G03F7/00 
G03F7/004",,1992-05-14,1992-05-14,17392180
433,Method for preparing plant bisphenol glycidyl ether,DAI ZHICHENG,SUZHOU BAOLIRUI BIOLOG MATERIAL TECHNOLOGY DEV CO LTD,CN104557791A,2014-12-01,"C07D301/26 
C07D303/27 
C08G59/24","C07D301/26 (CN) 
C07D303/27 (CN) 
C08G59/245 (CN)",2015-04-29,2015-04-29,53074965
434,Highly water-dispersible hyperbranched polyglycerol surface-modified graphene preparation method,"CAI NING 
HOU DAJUN 
LUO XIAOGANG 
YU FAQUAN",WUHAN INST TECHNOLOGY,CN104843687A,2015-04-17,C01B31/04,,2015-08-19,2015-08-19,53843738
435,No title available,,,GB1257368A,1968-04-29,"C08G22/08 
C08G18/10 
C08G18/28 
C08G18/46 
C08G18/50","C08G18/10 (EP) 
C08G18/2845 (EP) 
C08G18/4615 (EP) 
C08G18/5057 (EP) 
Y10S528/906 (EP) 
C08G18/10, C08G18/2845, INV (EP)      ",1971-12-15,1969-11-13,24913468
436,SOLUBILIZER AND SOLUBILIZED COMPOSITION CONTAINING THE SAME,"ISHITOBI MASAHIKO 
OTOMO NAOYA","MITSUBISHI CHEM CORP 
MITSUBISHI KAGAKU FOODS CORP",JP2004267882A,2003-03-07,"A23L1/035 
A61K7/00 
B01F17/42 
C11D1/74 
A23L29/10 
A61K8/30 
A61K8/34 
A61K8/37 
A61Q5/00 
B01F17/42 
C11D1/74",,2004-09-30,2004-09-30,33123232
437,"PRODUCTION OF 2,3-DIHYDRO-1,4-BENZOXAZINE-3-ONE DERIVATIVE","SASAKI KAZUNORI 
YOSHIMURA IKUO","MOCHIDA PHARM CO LTD 
NISSHIN FLOUR MILLING CO 
NISSHIN KAGAKU KK",JPH0411544B2,1982-07-21,"B01J27/24 
B01J31/08 
C07D265/36 
B01J23/00 
B01J27/24 
B01J31/00 
B01J31/08 
C07B61/00 
C07D265/36",,1984-01-28,1984-01-28,14917929
438,PRODUCTION OF GLYCEROL MONOOLEATE,"AKIMOTO SHINICHI 
KUBO YOSHIFUMI 
SUGINAKA AKINORI 
SUZUKI MASAO",NIPPON OILS & FATS CO LTD,JPH0641438B2,1985-12-06,"B01J31/02 
C07C67/26 
C07C69/58 
C07C67/08 
C07C67/48 
B01J31/00 
B01J31/02 
C07B61/00 
C07C67/08 
C07C67/26 
C07C67/48 
C07C69/58",,1987-06-16,1987-06-16,17524366
439,Optical isomer of tilisolol as well as preparation method and medical use thereof,YONGGAN YAO [CN],BEIJING RUNDEKANG MEDICAL TECH [CN],CN101255135A,2008-04-03,"A61K31/472 
A61P9/06 
A61P9/10 
A61P9/12 
C07D217/24",,2008-09-03,2008-09-03,39890297
440,Secondary recovery method,HUNTER WALTER D [US],TEXACO DEVELOPMENT CORP [US],US4430481A,1982-05-03,"C08F8/36 
C08F8/36 
C09K8/588","C08F8/00 (EP) 
C08F8/36 (EP) 
C09K8/588 (EP) 
C08F2800/20 (EP) 
Y10S507/936 (EP) 
C08F8/00, C08F220/56, INV (EP)       
C08F8/36, C08F8/00, C08F220/56, INV (EP)      ",1984-02-07,1984-02-07,23475768
441,"WATER REDUCER INTERMEDIATE, PREPARATION METHOD THEREFOR, AND WATER REDUCER PREPARED BY USING THE SAME","LIU JIAPING [CN] 
LIU JINZHI [CN] 
RAN QIANPING [CN] 
YANG YONG [CN] 
ZHANG ZHIYONG [CN] 
ZHOU DONGLIANG [CN]","JIANGSU BOTE NEW MATERIALS CO [CN] 
JIANGSU RES INST BUILDING SCI [CN] 
JIANGSU SOBUTE NEW MATERIALS CO LTD [CN] 
NANJING BOTE NEW MATERIALS CO LTD [CN]",WO2014059674A1,2012-10-19,"C04B24/24 
C04B24/32 
C08F301/00 
C08G65/28 
C04B103/30 
C04B103/32","C04B24/2647 (EP) 
C08G65/2606 (EP) 
C08G65/2615 (EP) 
C08G65/2696 (EP) 
C04B2103/32 (EP)",2014-04-24,2014-04-24,50487487
442,DRUG CARRIER,"KOIWAI KAZUMICHI 
KONO KENJI 
SAKAGUCHI NAOKI","TERUMO CORP 
UNIV OSAKA PREFECTURE",JP2008120718A,2006-11-10,"A61K31/702 
A61K31/7088 
A61K31/715 
A61K31/726 
A61K38/00 
A61K45/00 
A61K47/18 
A61K47/24 
A61K47/34 
A61K47/44 
A61K47/46 
A61K47/48 
A61K48/00 
A61K9/107 
A61K9/127 
A61K9/16 
A61P35/00 
A61P43/00 
A61P9/12",,2008-05-29,2008-05-29,39505862
443,NOVEL POLYACETAL COPOLYMERS OF TRIOXANE AND GLYCIDYL ESTER DERIVATIVES,"AUERBACH ANDREW B [US] 
PESCE ROSE A [US] 
YANG NAN LOH [US]",HOECHST CELANESE CORP [US],CN1047308A,1989-05-12,"C08G2/22 
C08G2/18 
C08G2/22 
C08G65/16",C08G2/22 (EP),1990-11-28,1990-11-12,23378157
444,METHOD FOR PRODUCING ALKENYL GROUP-CONTAINING POLYGLYCEROL DERIVATIVE,HAYASHI YOSHIHIRO,NOF CORP,JP2004277548A,2003-03-14,"C08G65/28 
C08G65/30 
C08L71/00 
C08L83/05 
C08G65/28 
C08G65/30 
C08L71/00 
C08L83/05 
C07C41/03 
C07C43/15 
C07C43/178",,2004-10-07,2004-10-07,33286913
445,CURABLE RESIN COMPOSITION FOR FORMING ABRASION RESISTANT FILM,"KAETSU ISAO 
YOSHIDA MASARU",JAPAN ATOMIC ENERGY RES INST,JPS56106966A,1980-11-27,"C08K5/54 
C08L71/02 
C09D3/49 
C08K5/54 
C08K5/5425 
C08K5/5435 
C08L33/00 
C08L33/02 
C08L71/00 
C08L71/02 
C08L77/00 
C09D183/04",,1981-08-25,1981-08-25,15821093
446,METHOD FOR PURIFYING 1-AMINOPROPANEDIOL,"KITAMURA YOSHIKAZU 
KOYAMA HIROSHI",DAICEL CHEM,JP2671152B2,1989-08-02,"C07C213/04 
C07C213/10 
C07C215/10 
C07C213/04 
C07C213/10 
C07C215/10",,1991-03-19,1991-03-19,16431294
447,"METHOD FOR PRODUCING GLYCEROL-alpha,beta-UNSATURATED CARBOXYLIC ACID ESTER","HOSOYA RYUZO 
KATO KENJI",NOF CORP,JP2001294555A,2000-04-13,"B01J31/02 
C07B61/00 
C07C67/26 
C07C69/54 
C07C69/593 
C07C69/60 
B01J31/02 
C07B61/00 
C07C67/26 
C07C69/54 
C07C69/593 
C07C69/60",,2001-10-23,2001-10-23,18624804
448,PROCESS FOR PREPARING OPTICALLY ACTIVE [S]-2- ACETYL-7-(2-HYDROXY-3- ISOPROPYLAMINOPROPOXY)BENZOFURAN AND SALTS THEREOF,"KIMURA KAZUHIKO 
NAKANISHI TERUO 
NAKANO JUN",KAKEN PHARMA CO LTD,CA1190238A,1982-03-16,"C07D407/12 
C07D301/02 
C07D307/86 
C07D407/12","C07D301/02 (EP) 
C07D307/86 (EP) 
C07D407/12 (EP)",1985-07-09,1983-09-19,12627767
449,"Biodegradable cross-linking agent, polyacrylamide hydrogel and preparation method",XIE WENZE,SHENZHEN DUEBIO TECH CO LTD,CN105754037A,2016-04-06,"C08F120/56 
C08F220/32 
C08F251/00 
C08J3/075 
C08J3/24 
C08L33/26 
C08L51/02","C08F120/56 (CN) 
C08F251/00 (CN) 
C08J3/075 (CN) 
C08J3/246 (CN) 
C08L33/26 (CN) 
C08L51/02 (CN) 
C08J2333/26 (CN) 
C08J2351/02 (CN) 
C08J2433/26 (CN) 
C08J2451/02 (CN) 
C08L2201/06 (CN) 
C08L2203/02 (CN) 
C08L2312/00 (CN) 
C08F251/00, C08F220/325, INV (CN)       
C08L33/26, C08L51/02, INV (CN)       
C08L51/02, C08L33/26, INV (CN)      ",2016-07-13,2016-07-13,56334185
450,Process for the production of dihydroxypropyltheophylline,"BINDER VOLKER [DE] 
MERK WOLFGANG [DE] 
WERLE PETER [DE]",DEGUSSA [DE],US4405783A,1981-08-25,"C07D473/08 
B01J23/00 
C07D473/08",C07D473/08 (EP),1983-09-20,1983-03-09,6140049
451,"EPOXY-MODIFIED ALKOXYSILANE CONDENSATE AND ITS PRODUCTION METHOD, AND COMPOSITION CONTAINING THE CONDENSATE","AIDA HIDEKI 
TONO TETSUJI",ARAKAWA CHEM IND,JP2003286327A,1999-07-15,"C08G59/20 
C08G59/20",,2003-10-10,2003-10-10,29254974
452,Synthesis method of water-diluted type ring carbonic ester resin,XU REN,XU REN,CN102040704A,2009-10-13,"C08F212/08 
C08F212/36 
C08F218/08 
C08F220/06 
C08F220/14 
C08F220/18 
C08F220/28 
C08F220/56 
C08F222/02 
C08F222/14",,2011-05-04,2011-05-04,43907265
453,METHOD FOR IMPROVING COLD FLOW OF FUEL OILS,"ISIZAKI DAKAHARU [JP] 
KIMURA TSUNEO [JP] 
YAMAJAKI SHINGO [JP]",NIPPON OILS & FATS CO LTD [JP],KR840007747A,1983-02-16,"C10G49/00 
C10G49/00 
C10L1/14 
C10L1/16 
C10L1/192 
C10L1/195 
C10L1/22 
C10L1/222 
C10L1/224 
C10L1/234 
C10L1/18","C10L1/143 (EP) 
C10L1/224 (EP) 
C10L1/195 (EP)",1984-12-10,1984-08-28,12095623
454,METHOD FOR PRODUCING ALKYL POLYGLYCERYL ETHER,"HANADA YOKO 
MIYANAGA SEIICHI",KAO CORP,JP2005272750A,2004-03-26,"C08G65/34 
C08G65/34 
C07C41/03 
C07C43/13 
C08G65/28",,2005-10-06,2005-10-06,35172754
455,METHOD FOR MANUFACTURING A HYPERBRANCHED POLYESTER POLYOL DERIVATIVE,"ADELI MOHSEN [DE] 
FERRARO MAGDA [DE] 
HAAG RAINER [DE] 
MOHAMMADIFAR EHSAN [DE] 
ZABIHI FATEMEH [DE]",FREIE UNIV BERLIN [DE],EP3483201A1,2017-11-14,"A61K47/34 
C08G63/08 
C08G63/85 
C08G63/91 
C08G65/22 
C08G65/26 
C08G65/326 
C08G65/334 
C08G83/00","A61K47/34 (EP) 
A61K9/0021 (EP) 
C08G63/664 (EP) 
C08G63/6882 (EP) 
C08G63/912 (EP) 
C08G65/22 (EP) 
C08G65/2642 (EP) 
C08G65/266 (EP) 
C08G65/3344 (EP) 
C08G83/005 (EP) 
C08G83/006 (EP) 
C08G65/2615 (EP)",2019-05-15,2019-05-15,60574368
